,K,D,A,Gold,Level,Win,Time_seconds
144,0.8,3.0,2.4,8020.0,14.0,0,951
145,3.0,0.8,8.2,9800.0,14.8,1,951
146,1.8,1.4,4.6,9840.0,14.6,1,968
147,1.4,1.8,4.6,8540.0,14.8,0,968
148,2.6,2.4,8.0,12880.0,15.0,1,1255
149,2.4,2.6,5.2,11540.0,15.0,0,1255
150,2.6,0.8,7.2,8100.0,12.8,1,715
151,0.8,2.6,1.6,6140.0,11.2,0,715
152,0.4,2.0,0.6,6252.6,11.6,0,688
153,2.0,0.4,4.8,7880.2,13.0,1,688
154,2.0,1.0,5.4,10978.2,15.0,1,1045
155,1.0,2.0,2.0,9124.4,15.0,0,1045
156,1.4,2.6,3.4,7725.6,13.6,0,909
157,2.6,1.4,7.0,9899.0,14.6,1,909
158,3.0,1.8,9.0,11338.6,15.0,1,1104
159,1.8,3.0,5.4,9823.2,12.2,0,1104
160,1.4,2.8,3.6,8087.6,12.0,0,898
161,2.8,1.4,8.6,10101.6,14.8,1,898
162,3.4,0.8,8.6,8938.4,14.2,1,832
163,0.8,3.4,2.4,6808.4,12.6,0,832
164,2.4,0.6,7.8,9053.4,14.2,1,803
165,0.6,2.4,1.2,6288.6,12.0,0,803
166,2.6,1.6,7.4,13107.0,15.0,1,1349
167,1.6,2.6,3.8,12005.2,15.0,0,1349
168,2.8,3.4,7.4,16377.0,15.0,0,1664
169,3.4,2.8,7.4,16218.4,15.0,1,1664
170,2.8,1.4,6.2,10289.4,15.0,1,972
171,1.4,2.8,3.4,8313.0,14.0,0,972
172,1.0,3.0,3.2,14523.4,15.0,0,1605
173,3.0,1.0,8.0,15841.2,15.0,1,1605
174,1.2,3.0,2.8,9068.2,14.2,1,982
175,3.0,1.2,7.6,10762.0,15.0,0,982
176,3.0,4.0,8.0,12284.8,15.0,1,1292
177,4.0,3.0,9.6,13004.4,15.0,0,1292
178,2.4,0.4,6.4,11011.8,14.8,1,941
179,0.4,2.4,1.0,6036.8,13.2,0,941
180,2.4,3.2,7.2,14859.2,15.0,0,1661
181,3.2,2.4,8.6,16293.6,15.0,1,1661
182,1.0,2.4,2.0,6573.4,11.6,0,729
183,2.4,1.0,5.4,7996.0,13.6,1,729
184,1.8,1.2,4.0,12996.0,15.0,1,1307
185,1.2,1.8,3.8,11852.2,15.0,0,1307
186,1.4,1.8,3.6,10935.6,15.0,0,1148
187,1.8,1.4,4.4,12081.4,15.0,1,1148
188,2.4,3.4,5.0,9075.0,14.8,0,1057
189,3.4,2.4,8.2,10596.4,15.0,1,1057
190,3.4,1.8,8.4,15319.6,15.0,1,1559
191,1.8,3.4,4.6,13775.6,15.0,0,1559
192,2.2,0.8,6.0,9566.0,14.6,1,970
193,0.8,2.2,2.8,8283.6,14.2,0,970
194,0.8,2.2,2.4,9458.6,14.4,0,1031
195,2.2,0.8,6.0,10679.0,15.0,1,1031
196,1.0,2.0,3.0,7435.8,12.6,0,889
197,2.0,1.0,3.4,9706.8,14.8,1,889
198,3.6,1.8,9.4,9214.2,14.2,1,839
199,1.8,3.6,4.8,7460.0,13.2,0,839
200,3.8,1.4,6.8,9737.6,14.8,1,881
201,1.4,3.8,2.6,7966.6,13.0,0,881
202,2.0,0.6,6.6,7660.6,12.8,1,693
203,0.6,2.0,1.4,6029.2,11.0,0,693
204,0.2,1.4,0.8,6386.4,12.2,0,833
205,1.4,0.2,2.4,24888.0,14.2,1,833
206,3.4,0.6,7.0,10929.6,15.0,1,1050
207,0.6,3.4,1.4,8905.8,14.6,0,1050
208,3.2,0.6,8.0,11564.0,15.0,1,1192
209,0.6,3.2,1.6,9319.0,15.0,0,1192
210,0.8,3.4,2.4,9248.0,14.8,0,1078
211,3.4,0.8,8.2,11680.6,15.0,1,1078
212,1.8,2.4,5.0,9121.6,14.6,1,909
213,2.4,1.8,6.4,8375.6,13.8,0,909
214,0.8,3.0,2.0,7867.2,13.4,0,878
215,3.0,0.8,8.4,9957.6,15.0,1,878
216,3.6,0.2,12.0,9774.8,14.4,1,863
217,0.2,3.6,0.6,6882.2,13.0,0,863
218,2.2,1.2,6.4,8158.6,13.2,1,761
219,1.2,2.2,3.0,7316.2,12.6,0,761
220,1.4,3.4,1.4,9003.8,14.0,0,943
221,3.4,1.4,7.6,10423.2,14.6,1,943
222,3.2,1.4,10.0,11740.0,15.0,1,1289
223,1.4,3.2,3.6,11108.2,15.0,0,1289
224,3.8,1.4,8.2,8992.0,14.0,1,793
225,1.4,3.8,2.6,7251.0,12.6,0,793
226,3.2,1.2,8.8,9924.0,14.8,1,979
227,1.2,3.2,2.4,8357.8,14.0,0,979
228,3.2,0.8,9.6,11352.6,15.0,1,1038
229,0.8,3.2,2.0,8486.8,14.6,0,1038
230,0.4,1.4,0.4,7198.8,13.0,0,832
231,1.4,0.4,3.0,8972.4,14.2,1,832
