K_1,D_1,A_1,Gold_1,Level_1,Win_1,Time_seconds_1,K_2,D_2,A_2,Gold_2,Level_2
3.2,2.2,7.6,14435.0,15.0,1,1293,2.2,3.2,7.0,12095.8,15.0
0.0,1.8,0.0,7020.2,13.0,0,846,1.8,0.0,4.6,8939.6,14.4
2.2,1.6,6.0,9878.4,14.8,1,927,1.6,2.2,2.8,8437.4,13.4
3.6,1.0,9.0,9307.0,14.4,1,811,1.0,3.6,3.0,6503.4,12.0
3.2,2.4,7.6,14071.0,15.0,0,1567,2.4,3.2,5.4,14543.8,15.0
2.6,1.8,6.0,10996.2,15.0,1,1045,1.8,2.6,5.6,10144.6,14.6
1.2,2.0,3.0,10465.8,15.0,0,1161,2.0,1.2,5.0,12104.8,15.0
0.6,2.4,2.2,6480.4,12.0,0,724,2.4,0.6,7.6,7321.0,12.4
2.6,1.4,7.4,7593.0,10.8,1,693,1.4,2.6,2.0,5915.4,11.4
3.2,1.2,9.4,9589.6,14.8,1,693,1.2,3.2,3.4,8118.0,13.6
0.8,2.8,1.8,6825.0,12.4,0,826,2.8,0.8,6.0,8553.4,13.8
0.6,2.6,1.0,6849.0,12.4,0,813,2.6,0.6,5.6,8855.4,14.2
2.6,1.6,6.2,9021.8,14.6,1,925,1.6,2.6,2.2,8148.6,14.2
0.4,1.6,1.2,8827.2,14.6,0,1019,1.6,0.4,4.8,10456.4,15.0
1.4,4.4,4.2,8108.6,12.0,0,858,4.4,1.4,12.4,10013.8,14.6
0.0,2.2,0.0,6366.0,12.2,0,824,2.0,0.0,5.2,9349.4,14.6
2.0,2.8,6.0,8304.4,14.2,0,940,2.8,2.0,8.0,10080.0,14.4
2.6,0.6,7.8,10264.0,14.8,1,924,0.6,2.6,1.2,8282.6,13.8
1.8,0.0,5.8,9361.4,14.6,1,830,0.0,1.8,0.0,7093.0,12.6
1.2,0.2,2.2,9829.6,14.8,1,886,0.2,1.2,0.6,7123.8,13.4
3.0,1.8,8.2,12918.2,15.0,1,1389,1.8,3.0,3.8,12183.0,15.0
1.2,1.8,2.4,7035.8,12.2,0,818,1.8,1.2,4.6,7872.4,13.4
2.6,5.2,7.2,12559.4,15.0,0,1371,5.2,2.6,10.4,12744.4,15.0
3.0,2.0,7.6,9322.8,14.0,1,952,2.0,3.0,5.8,8999.2,14.4
0.2,3.2,2.2,5954.0,14.6,0,770,3.2,0.2,9.2,8109.4,13.6
2.8,0.6,6.2,10314.0,14.6,1,942,0.6,2.8,1.8,7506.8,13.6
3.0,1.8,5.0,9477.0,14.4,1,874,1.8,3.0,4.2,8022.8,13.4
3.0,2.2,6.6,11037.8,15.0,1,1038,2.2,3.0,5.4,9233.8,14.4
2.4,1.0,5.8,9711.0,14.8,1,900,1.0,2.4,2.8,7724.8,13.2
3.8,4.6,8.0,13902.6,15.0,0,1533,4.6,3.8,10.8,15437.8,15.0
0.8,2.6,2.2,5416.4,10.2,0,653,2.6,0.8,6.0,7986.0,12.8
1.6,3.2,2.8,14754.0,15.0,0,1566,3.2,1.6,8.8,15927.6,15.0
1.4,3.6,4.0,10221.4,14.8,0,1117,3.6,1.4,10.2,11991.2,15.0
3.0,1.4,8.2,11449.2,15.0,1,1134,1.4,3.0,3.6,10219.2,15.0
0.6,2.8,1.2,5350.6,10.4,0,646,2.8,0.6,8.2,7332.4,12.4
3.0,1.0,6.0,12052.8,15.0,1,1175,1.0,3.0,2.4,11173.4,15.0
2.0,3.2,5.6,9803.6,14.8,0,1089,3.2,2.0,8.8,11590.2,15.0
1.2,2.2,2.8,11122.2,15.0,0,1227,2.2,1.2,4.8,12247.6,15.0
2.4,1.4,4.8,9816.2,14.6,1,928,1.4,2.4,3.2,8107.2,13.8
0.4,0.6,1.0,7471.2,13.4,0,904,0.6,0.4,2.4,9467.2,14.8
2.0,0.8,6.2,8862.0,14.0,1,859,0.8,3.2,2.4,7091.4,12.8
2.4,2.4,4.8,10520.8,15.0,0,1089,2.4,2.4,5.0,10770.2,15.0
3.6,0.6,8.8,11568.6,15.0,1,1036,0.6,3.6,2.0,8490.8,14.0
3.2,0.8,8.6,11808.2,15.0,1,1199,0.8,3.2,1.8,10291.0,15.0
3.0,0.4,7.2,7848.8,14.4,1,695,0.4,3.0,0.8,5820.8,11.2
2.2,2.4,4.8,8523.2,13.8,0,905,2.4,2.2,7.6,9435.4,14.8
2.6,0.8,3.8,7860.6,13.0,1,703,0.8,2.6,1.2,6380.6,11.8
2.2,1.2,6.4,10753.0,15.0,1,1149,1.2,2.2,3.4,10478.2,15.0
3.2,0.6,7.8,9606.4,14.8,1,901,0.6,3.2,1.8,7085.0,12.4
0.4,3.0,0.6,5308.4,10.4,0,633,3.0,0.6,7.4,7773.4,12.6
2.4,3.6,6.8,12264.0,15.0,1,1174,3.6,2.4,6.6,11616.2,15.0
2.8,1.2,8.6,9437.8,14.6,1,908,1.2,2.8,2.6,8322.6,13.8
3.4,2.4,8.2,9636.2,14.8,1,951,2.4,3.4,4.4,8228.4,14.2
3.2,1.0,9.6,9775.4,14.4,1,948,1.0,3.2,2.8,7900.0,13.8
2.0,0.8,4.4,17553.6,15.0,1,1874,0.8,2.0,2.0,17071.4,15.0
2.4,1.0,5.4,10218.6,14.8,1,941,1.0,2.4,3.2,7910.0,13.6
2.4,1.0,8.0,10587.4,15.0,1,1070,1.0,2.4,2.4,9166.0,14.6
1.2,3.2,3.2,12155.0,15.0,0,1360,3.2,1.2,9.0,14189.2,15.0
0.4,1.6,0.6,4965.6,10.2,0,624,1.6,0.4,3.8,7356.0,12.6
1.4,2.6,2.8,7920.8,13.4,0,911,2.6,1.4,7.0,9959.4,14.4
0.0,2.2,0.0,8438.8,14.4,1,904,2.2,0.0,7.0,8922.0,14.0
1.2,2.6,3.0,12054.4,15.0,0,1324,2.6,1.2,6.4,13206.2,15.0
1.2,2.8,2.4,7392.8,12.6,0,841,2.8,1.2,9.6,9433.2,14.8
2.4,2.2,7.2,15900.2,15.0,1,1736,2.2,2.4,7.0,16544.0,15.0
0.8,2.6,1.8,6371.4,11.6,0,757,2.6,0.8,6.6,8728.6,13.6
1.6,3.2,3.6,9190.8,14.4,0,1034,3.2,1.6,6.8,10345.4,14.8
2.6,3.4,6.6,6551.4,11.8,0,715,3.4,2.6,8.8,7925.2,13.2
1.8,4.6,4.4,11253.8,15.0,0,1284,4.6,1.8,11.2,13527.8,15.0
2.8,2.4,6.4,15604.6,15.0,1,1596,2.4,2.8,6.2,15610.0,15.0
2.4,0.4,6.6,9746.6,14.6,1,912,0.4,2.4,1.2,7928.6,13.6
0.4,1.6,1.6,8108.6,14.0,0,953,1.6,0.4,4.8,10275.6,14.8
2.4,0.0,7.0,8494.6,13.8,1,734,0.0,2.4,0.0,5654.6,11.4
0.4,3.0,1.2,5674.6,11.4,0,669,3.0,0.4,8.4,7341.8,12.2
2.4,3.4,6.0,10068.4,14.8,0,1031,3.4,2.4,10.2,11205.2,15.0
3.4,4.2,7.4,17928.0,15.0,0,1782,4.2,3.4,12.0,18442.8,15.0
2.0,0.4,4.2,11949.8,15.0,1,1122,0.4,2.0,1.2,9627.0,14.8
2.2,0.8,5.0,8860.6,14.2,1,812,0.8,2.2,0.8,6749.8,12.4
4.0,1.0,10.4,16502.6,15.0,1,1613,1.0,4.0,2.6,14187.8,15.0
4.6,1.2,8.4,10173.4,14.8,1,954,1.2,4.6,3.2,8653.8,14.2
3.0,1.6,11.0,12564.0,15.0,1,1156,1.6,3.0,2.6,10931.0,15.0
2.0,2.8,3.2,10830.6,15.0,0,1160,2.8,2.0,8.0,12327.8,15.0
3.0,2.0,7.2,11842.8,15.0,1,1121,2.0,3.0,4.2,10474.8,14.8
2.8,1.2,8.2,8729.6,14.2,1,804,1.2,2.8,3.0,7084.2,12.8
3.2,1.8,8.4,12679.0,15.0,1,1171,1.8,3.2,4.2,11773.0,15.0
3.2,3.2,9.0,13629.4,15.0,1,1328,3.2,3.2,9.0,12528.0,15.0
1.8,1.2,4.2,10747.8,15.0,1,1036,1.0,1.8,3.0,9526.6,14.4
2.8,1.0,7.2,10281.2,15.0,1,934,1.0,2.8,2.4,8160.8,14.0
3.2,1.0,8.8,15054.4,15.0,1,1506,1.0,3.2,2.8,12969.8,15.0
1.0,2.4,3.2,6609.8,13.4,0,892,2.4,1.0,5.0,10036.8,14.6
2.6,1.4,6.2,12556.0,15.0,1,1219,1.4,2.6,3.8,11082.8,15.0
2.6,0.4,6.2,11445.6,14.8,1,995,0.4,2.6,1.2,7978.6,13.8
1.2,3.0,3.0,6622.6,12.0,0,762,3.0,1.2,5.2,8320.6,13.4
2.6,1.2,6.4,11145.2,15.0,1,1013,1.2,2.6,3.2,9095.0,14.4
1.8,1.0,4.8,8983.0,14.4,1,804,1.0,1.8,3.0,6941.0,12.4
1.4,3.0,3.2,8525.6,14.0,0,896,3.0,1.4,8.4,9985.6,14.8
3.2,1.6,8.0,9853.8,14.8,1,892,1.6,3.2,3.4,8231.2,13.6
3.8,0.4,9.4,10323.6,14.8,1,951,0.4,3.8,0.6,7928.6,14.2
2.2,2.4,5.8,11520.6,15.0,0,1258,2.4,2.2,5.8,12005.0,15.0
0.6,1.8,1.4,8499.6,14.2,0,977,1.8,0.6,4.8,9861.6,14.8
0.4,2.4,1.0,6585.6,12.2,0,784,2.4,0.4,4.8,6417.0,13.4
2.4,0.4,5.6,9473.4,14.4,1,821,0.4,2.4,1.2,6950.6,12.4
3.0,2.6,8.0,12563.6,15.0,1,1252,2.6,3.0,6.6,12011.2,15.0
0.8,2.2,1.0,9793.2,14.8,0,1110,2.2,0.8,6.4,11770.0,15.0
1.2,2.2,2.6,10670.8,14.8,0,1220,2.2,1.2,5.6,12282.4,15.0
3.2,3.4,6.8,12146.2,15.0,0,1281,3.4,3.2,8.8,12400.4,15.0
1.0,3.0,1.8,7843.2,14.0,0,952,3.0,1.0,8.6,10152.4,14.8
3.2,3.0,8.0,13268.0,15.0,0,1328,3.0,3.2,8.0,13080.8,15.0
1.8,2.2,5.2,13800.2,15.0,1,1387,2.2,1.8,5.4,12287.6,15.0
1.0,2.8,1.6,10723.4,15.0,0,1164,2.8,1.0,6.6,11890.4,15.0
2.2,1.4,5.2,8719.2,14.4,1,845,1.4,2.2,4.8,7588.6,13.0
3.2,1.2,10.0,10838.8,15.0,1,1078,1.2,3.2,3.4,9474.4,15.0
0.6,2.6,1.6,8854.2,14.6,0,1044,2.6,0.6,6.6,11195.6,15.0
