K_1,D_1,A_1,Gold_1,Level_1,Win_1,Time_seconds_1,K_2,D_2,A_2,Gold_2,Level_2
2.0,1.4,4.8,14100.0,15.0,1,1574,1.4,2.0,4.0,14540.0,15.0
1.4,2.8,3.0,8820.0,14.4,0,1044,2.8,1.4,5.8,10520.0,15.0
2.6,3.0,5.8,12420.0,15.0,0,1315,3.0,2.6,5.6,12500.0,15.0
2.6,3.2,6.6,10540.0,15.0,0,1117,3.2,2.6,8.0,11420.0,15.0
1.6,2.6,4.6,15860.0,15.0,0,1718,2.6,1.6,7.4,17520.0,15.0
0.8,3.0,2.4,8020.0,14.0,0,951,3.0,0.8,8.2,9800.0,14.8
1.8,1.4,4.6,9840.0,14.6,1,968,1.4,1.8,4.6,8540.0,14.8
2.6,2.4,8.0,12880.0,15.0,1,1255,2.4,2.6,5.2,11540.0,15.0
2.6,0.8,7.2,8100.0,12.8,1,715,0.8,2.6,1.6,6140.0,11.2
0.4,2.0,0.6,6252.6,11.6,0,688,2.0,0.4,4.8,7880.2,13.0
2.0,1.0,5.4,10978.2,15.0,1,1045,1.0,2.0,2.0,9124.4,15.0
1.4,2.6,3.4,7725.6,13.6,0,909,2.6,1.4,7.0,9899.0,14.6
3.0,1.8,9.0,11338.6,15.0,1,1104,1.8,3.0,5.4,9823.2,12.2
1.4,2.8,3.6,8087.6,12.0,0,898,2.8,1.4,8.6,10101.6,14.8
3.4,0.8,8.6,8938.4,14.2,1,832,0.8,3.4,2.4,6808.4,12.6
2.4,0.6,7.8,9053.4,14.2,1,803,0.6,2.4,1.2,6288.6,12.0
2.6,1.6,7.4,13107.0,15.0,1,1349,1.6,2.6,3.8,12005.2,15.0
2.8,3.4,7.4,16377.0,15.0,0,1664,3.4,2.8,7.4,16218.4,15.0
2.8,1.4,6.2,10289.4,15.0,1,972,1.4,2.8,3.4,8313.0,14.0
1.0,3.0,3.2,14523.4,15.0,0,1605,3.0,1.0,8.0,15841.2,15.0
1.2,3.0,2.8,9068.2,14.2,1,982,3.0,1.2,7.6,10762.0,15.0
3.0,4.0,8.0,12284.8,15.0,1,1292,4.0,3.0,9.6,13004.4,15.0
2.4,0.4,6.4,11011.8,14.8,1,941,0.4,2.4,1.0,6036.8,13.2
